id,group
HB040426174,upi
5VFN-8XH1-JBK9-22KX-00000-00,upi
A42389786,upi
4PP7-T9T0-TWCN-F1PY,upi
61V0-RKT1-JBK9-20J0-00000-00,upi
HB050527719,upi
HB070209382,upi
A44129441,upi
A13770193,upi
HB080512636,upi
HB110817135,upi
HB091129330,upi
A59988062,upi
4R8R-6W00-TWCN-F00P,upi
5YP2-S8Y1-JBK9-251H-00000-00,upi
4PPD-JT80-TWCN-F25G,upi
HB592A3E32-E09E-4A4E-B283-23CBA2A26F00,upi
A27202380,upi
4PP7-T900-TWCN-F2C4,upi
A51231917,upi
6483E8A8-F3A4-46D4-81BE-F8C88988F60A,upi
4PP7-T9W0-TWCN-F32G,upi
HB9AEFF66D-F0B9-4E68-A8E3-221F2A705835,upi
A13942696,upi
7XNR-3400-Y8XK-R18G,upi
A49544557,upi
A61076728,upi
A113863882,upi
A105710391,upi
5XKT-2N91-JBK9-24R4-00000-00,upi
5SGM-MXF1-JBK9-237J,upi
HB090530465,upi
A23287780,upi
HB060922339,upi
A47323080,upi
HB050504151,upi
HB060614506,upi
HBFCFBA8B3-00F8-4141-8697-4F2631FFF2FC,upi
HB9697BF48-18E1-43DB-A51D-CB31BD9D75D1,upi
HB7087BDFC-75F6-4777-9487-1EEB264D1090,upi
A12268273,upi
4NY5-5FJ0-TWCN-F2SV,upi
A55269482,upi
HBBBA8AD51-8230-46A5-B2C4-6CE4CB609401,upi
5FN8-NJX1-JBK9-20PK,upi
A25807975,upi
HB030913662,upi
4PP7-T9F0-TWCN-F2TK,upi
HB0610231030,upi
4PNC-V9D0-TWCN-F2PK,upi
4PPF-1420-TWCN-F2VB,upi
HB040203405,upi
HB2F92995A-EB95-449D-9300-59D7789BF758,upi
HB8403100C-9906-4084-975C-B9AD9D7B8A0A,upi
A13035956,upi
A44353116,upi
7V9D-35G1-2PFJ-104G,upi
A12971274,upi
A60346897,upi
HB091114287,upi
A111911169,upi
HB6CD6DEDE-6A65-4F59-AE34-B5D56879E244,upi
4T5R-T580-TWCN-F074,upi
4TNV-16B0-TWCN-F12N,upi
HB4432A2D0-AAD6-40F3-84CA-0C0BE86EA6F1,upi
A48517067,upi
A24438350,upi
HB020115153,upi
HB050418256,upi
7V4X-M7Y0-Y8XK-R0JG,upi
HB051005718,upi
A58758720,upi
A44706784,upi
7TYK-G3V0-Y8XK-R050,upi
HB060719423,upi
HBA0041AEF-40AF-4B9D-8B55-5B9BD0ACC425,upi
561M-5DF1-JBK9-22C8,upi
A41194943,upi
HB288DF015-511C-4004-BF18-2A2DD94E83D8,upi
HB050731337,upi
HBA398B4B7-67DE-412D-88F5-F5E9CD23516C,upi
HBB38BFA83-95DA-4005-818B-C6B2BE4D8BE1,upi
HB100820226,upi
A23671852,upi
4T5H-T830-TWCN-F0N8,upi
HB120907710,upi
8F991FB3-7056-44A9-BDDE-F887012085C0,upi
A58580936,upi
HB061030553,upi
A106787134,upi
HB100612123,upi
A41400536,upi
HB010323131,upi
4PP7-7SN0-TWCN-F2D7,upi
514Y-1BY1-JBK9-20NC,upi
HB120601641,upi
HB060529336,upi
4R9B-C2G0-TWCN-F13M,upi
52BM-K3F1-JBK9-204K,upi
A59062089,upi
4F8R-SWW0-TWCN-F2BC,outer
A54194418,outer
HB020807121,outer
4FCH-KRV0-TWCN-F2S0,outer
HB110211268,outer
5571-N441-DY2B-S4T0,outer
A101197819,outer
A55813280,outer
A44353242,outer
HB120211295,outer
4PPF-12W0-TWCN-F25M,outer
A56550112,outer
4RSK-BCK0-TWCN-F018,outer
A73601828,outer
HB5B3C5413-1854-4329-8B30-F4C24EF9DD66,outer
HB275EB15F-4F14-4D85-8B7D-BBFD34BFC19C,outer
A27464947,outer
5FGK-8KW1-JBK9-242P,outer
A11922127,outer
4C40-5W90-TWCN-F2B9,outer
A25571800,outer
A23915433,outer
HB090508221,outer
5RC3-4CY1-DY2B-S2JD,outer
HB081010726,outer
A45262239,outer
54WD-X1B1-DY2B-S3RR,outer
A42578243,outer
7Y6D-XD51-2PFH-X0XW,outer
4PPD-JSX0-TWCN-F28J,outer
4FF7-4VN0-TWCN-F2BF,outer
A24123926,outer
7XGC-TJS1-2PFJ-10TM,outer
A109971199,outer
A24611360,outer
56GV-BVG1-DY2B-S18H,outer
4GW9-MKN0-TWCN-F2BC,outer
4SRT-T540-TWCN-F14V,outer
A69998294,outer
A27053506,outer
A58680840,outer
4PP7-T9P0-TWCN-F1Y6,outer
A44677806,outer
4G6B-4VY0-TWCN-F315,outer
5JJR-GNW1-DY2B-S2W1,outer
5CT1-SCF1-JBK9-206X,outer
4FWK-BK10-TWCN-F278,outer
A103423985,outer
HBA94DE6F6-9CA5-461A-8E2E-D9DC3C8DC7B8,outer
4MCV-8KV0-TWCN-F1T3,outer
A14102448,outer
4PPD-JSM0-TWCN-F34G,outer
4NFW-YJN0-TWCN-F2NY,outer
4T95-JCN0-TWCN-F1DV,outer
A50117578,outer
HBDE263C1C-40F6-4559-93E4-C222F4EDFDD8,outer
4PPD-JTD0-TWCN-F20H,outer
7Y66-Y2F1-2PFH-X1S3,outer
4GFC-78W0-TWCN-F22Y,outer
4PP7-T9C0-TWCN-F239,outer
4PP7-7SM0-TWCN-F385,outer
4M2W-9PW0-TWCN-F2H4,outer
A49602392,outer
A44456702,outer
7VNN-58K1-2PFJ-105H,outer
4F5J-M1W0-TWCN-F2SG,outer
A105464991,outer
4KPD-S8R0-TWCN-F3CY,outer
A23212328,outer
HB070513182,outer
A22432382,outer
A47505867,outer
A109501685,outer
4CMG-08D0-TWCN-F234,outer
HB100230424,outer
HB111125206,outer
A111680783,outer
A45956911,outer
HB120915900,outer
612N-GMY1-DY2B-S06S-00000-00,outer
7X8D-MCH1-2PFJ-144P,outer
4HDW-D9C0-TWCN-F21H,outer
7XC6-7TV0-Y8XK-R0X6,outer
HB050406561,outer
HB020119477,outer
4PPD-JTJ0-TWCN-F2YX,outer
A42503116,outer
HB020306236,outer
HB060113336,outer
A48921319,outer
A27608616,outer
4PPD-JT70-TWCN-F2JF,outer
HB100317263,outer
A52867973,outer
4C40-DNR0-TWCN-F39C,outer
4C9G-MC70-TWCN-F21M,outer
HB100315589,outer
A71159134,outer
4PPF-1340-TWCN-F2D7,outer
4PPD-JT30-TWCN-F31X,outer
4DJ9-1F90-TWCN-F292,outer
HB110211219,outer
A42608880,outer
A102253207,outer
A74689751,outer
A26086059,outer
A112166884,outer
4C40-5V40-TWCN-F2S6,outer
